ORDEN,AÑO,DISCIPLINA DEPORTIVA,No. GRUPO,BARRIO CLUB,COMUNA CLUB,SEXO,EDAD,ESTRATO,BARRIO DEPORTISTA,COMUNA DEPORTISTA,GRUPO ETAREO
2495,2021,PORRISMO,CANCHA EL ROCIO,EL ROCIO,11. SUR,FEMENINO,10,1,CIUDAD VENECIA,11. SUR,3 a 12 años
2496,2021,PORRISMO,CANCHA EL ROCIO,EL ROCIO,11. SUR,FEMENINO,10,3,EL ROCIO,11. SUR,3 a 12 años
2497,2021,PORRISMO,CANCHA EL ROCIO,EL ROCIO,11. SUR,FEMENINO,14,3,EL ROCIO,11. SUR,13 a 17 años
1,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,6,3,GARCIA ROVIRA,15. CENTRO,3 a 12 años
2,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,11,1,DANGOND,11. SUR,3 a 12 años
3,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,9,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
4,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,6,4,BRISAS DE PROVENZA,10. PROVENZA,3 a 12 años
5,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,9,4,BRISAS DE PROVENZA,10. PROVENZA,3 a 12 años
6,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,8,4,BRISAS DE PROVENZA,10. PROVENZA,3 a 12 años
7,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,FEMENINO,10,2,GARCIA ROVIRA,15. CENTRO,3 a 12 años
8,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,10,2,DANGOND,11. SUR,3 a 12 años
9,2021,AJEDREZ,SALON COMUNAL TOLEDO PLATA,TOLEDO PLATA,11. SUR,MASCULINO,12,2,DANGOND,11. SUR,3 a 12 años
10,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,13,2,CAMPO HERMOSO,05. GARCIA ROVIRA,13 a 17 años
11,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,9,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
12,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,9,2,SAN GERARDO,08. SUR OCCIDENTE,3 a 12 años
13,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,6,3,GARCIA ROVIRA,15. CENTRO,3 a 12 años
14,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,8,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
15,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,8,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
16,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,7,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
17,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,8,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
18,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,6,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
19,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,6,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
20,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,9,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
21,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,10,2,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
22,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,7,3,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
23,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,FEMENINO,9,3,CAMPO HERMOSO,05. GARCIA ROVIRA,3 a 12 años
24,2021,AJEDREZ,SALON COMUNAL CAMPO HERMOSO,CAMPO HERMOSO,05. GARCIA ROVIRA,MASCULINO,9,3,QUINTA ESTRELLA,05. GARCIA ROVIRA,3 a 12 años
25,2021,AJEDREZ,SALON COMUNAL KENNEDY,KENNEDY,01. NORTE,MASCULINO,7,1,SAN ALONSO,13. ORIENTAL,3 a 12 años
26,2021,AJEDREZ,SALON COMUNAL KENNEDY,KENNEDY,01. NORTE,MASCULINO,6,1,ALARCON,03. SAN FRANCISCO,3 a 12 años
27,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,13,1,CRISTAL ALTO,10. PROVENZA,13 a 17 años
28,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,13,1,CRISTAL ALTO,10. PROVENZA,13 a 17 años
29,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,12,1,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
30,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,8,1,GARCIA ROVIRA,15. CENTRO,3 a 12 años
31,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,11,2,CRISTAL ALTO,10. PROVENZA,3 a 12 años
32,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,8,1,PROVENZA,10. PROVENZA,3 a 12 años
33,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,11,1,CRISTAL ALTO,10. PROVENZA,3 a 12 años
34,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,8,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
35,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,6,1,SAN GERARDO,08. SUR OCCIDENTE,3 a 12 años
36,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,10,1,GARCIA ROVIRA,15. CENTRO,3 a 12 años
37,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,MASCULINO,9,1,CRISTAL ALTO,10. PROVENZA,3 a 12 años
38,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,8,1,CRISTAL ALTO,10. PROVENZA,3 a 12 años
39,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,12,1,CRISTAL ALTO,10. PROVENZA,3 a 12 años
40,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,7,1,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
41,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,12,1,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
42,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,6,1,GARCIA ROVIRA,15. CENTRO,3 a 12 años
43,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,11,1,GARCIA ROVIRA,15. CENTRO,3 a 12 años
44,2021,AJEDREZ,SALON SOCIAL LUZ DE SALVACION,CRISTAL ALTO,10. PROVENZA,FEMENINO,12,1,GARCIA ROVIRA,15. CENTRO,3 a 12 años
45,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,FEMENINO,8,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
46,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,FEMENINO,11,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
47,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,MASCULINO,12,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
48,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,FEMENINO,9,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
49,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,FEMENINO,8,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
50,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,FEMENINO,8,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
51,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,FEMENINO,11,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
52,2021,AJEDREZ,SALON COMUNAL NUEVA GRANADA,NUEVA GRANADA,09. LA PEDREGOSA,MASCULINO,12,3,NUEVA GRANADA,09. LA PEDREGOSA,3 a 12 años
53,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,8,4,EL TEJAR,16. LAGOS DEL CACIQUE,3 a 12 años
54,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,7,2,EL TEJAR,16. LAGOS DEL CACIQUE,3 a 12 años
55,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,13,3,TOLEDO PLATA,11. SUR,13 a 17 años
56,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,8,2,DANGOND,11. SUR,3 a 12 años
57,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,10,4,ASTURIAS,09. LA PEDREGOSA,3 a 12 años
58,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,13,2,REAL DE MINAS,07. LA CIUDADELA,13 a 17 años
59,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,7,3,LA CEIBA,06. LA CONCORDIA,3 a 12 años
60,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,FEMENINO,11,2,EL TEJAR,16. LAGOS DEL CACIQUE,3 a 12 años
61,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,FEMENINO,7,2,EL TEJAR,16. LAGOS DEL CACIQUE,3 a 12 años
62,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,9,4,LAGOS DEL CACIQUE,16. LAGOS DEL CACIQUE,3 a 12 años
63,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,10,1,GARCIA ROVIRA,15. CENTRO,3 a 12 años
64,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,10,2,EL TEJAR,16. LAGOS DEL CACIQUE,3 a 12 años
65,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,8,2,CHORRERAS DE DON JUAN,05. GARCIA ROVIRA,3 a 12 años
66,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,13,2,EL TEJAR,16. LAGOS DEL CACIQUE,13 a 17 años
2795,2021,TAEKWONDO,PORVENIR,EL PORVENIR,10. PROVENZA,MASCULINO,9,2,VILLA FLOR,11. SUR,3 a 12 años
67,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,FEMENINO,7,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
68,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,9,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
69,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,7,3,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
70,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,10,2,LA PEDREGOSA,09. LA PEDREGOSA,3 a 12 años
71,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,FEMENINO,7,1,TRANSICION I-V,02. NORORIENTAL,3 a 12 años
72,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,6,1,TRANSICION I-V,02. NORORIENTAL,3 a 12 años
73,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,MASCULINO,7,1,TRANSICION I-V,02. NORORIENTAL,3 a 12 años
74,2021,ATLETISMO,ESTADIO DE ATLETISMO LUIS ENRRIQUE FIGUEROA REY LA FLORA,EL TEJAR,16. LAGOS DEL CACIQUE,FEMENINO,8,3,SAN MARTIN,09. LA PEDREGOSA,3 a 12 años
75,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,7,3,MODELO,03. SAN FRANCISCO,3 a 12 años
76,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,13,2,GRANADA,04. OCCIDENTAL,13 a 17 años
77,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,7,3,ALARCON,03. SAN FRANCISCO,3 a 12 años
78,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,6,6,GARCIA ROVIRA,15. CENTRO,3 a 12 años
79,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,7,3,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
80,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,9,2,GRANADA,04. OCCIDENTAL,3 a 12 años
81,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,2,GRANADA,04. OCCIDENTAL,3 a 12 años
82,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,9,1,UNIVERSIDAD,03. SAN FRANCISCO,3 a 12 años
83,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,6,2,GRANADA,04. OCCIDENTAL,3 a 12 años
84,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,12,2,GRANADA,04. OCCIDENTAL,3 a 12 años
85,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,2,LA FERIA,04. OCCIDENTAL,3 a 12 años
86,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,4,SAN ALONSO,13. ORIENTAL,3 a 12 años
87,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,6,4,SAN ALONSO,13. ORIENTAL,3 a 12 años
88,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,13,2,COMUNEROS,03. SAN FRANCISCO,13 a 17 años
89,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,9,4,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
90,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,5,4,UNIVERSIDAD,03. SAN FRANCISCO,3 a 12 años
91,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,3,EL PORVENIR,10. PROVENZA,3 a 12 años
92,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,6,4,SAN ALONSO,13. ORIENTAL,3 a 12 años
93,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,4,SAN ALONSO,13. ORIENTAL,3 a 12 años
94,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,10,3,UNIVERSIDAD,03. SAN FRANCISCO,3 a 12 años
95,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,6,3,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
96,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,SAN FRANCISCO,03. SAN FRANCISCO,3 a 12 años
97,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,FEMENINO,6,4,SAN ALONSO,13. ORIENTAL,3 a 12 años
98,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,9,3,ALARCON,03. SAN FRANCISCO,3 a 12 años
99,2021,ATLETISMO,ESTADIO ALFONSO LOPEZ -LUGAR OCCIDENTAL,UNIVERSIDAD,03. SAN FRANCISCO,MASCULINO,11,3,ALARCON,03. SAN FRANCISCO,3 a 12 años
100,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,MASCULINO,5,2,TEJAR NORTE,01. NORTE,3 a 12 años
101,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,MASCULINO,9,2,TEJAR NORTE,01. NORTE,3 a 12 años
102,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,10,2,TEJAR NORTE,01. NORTE,3 a 12 años
103,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,11,2,SIN INFORMACION,SIN INFORMACION,3 a 12 años
104,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,MASCULINO,10,1,LA PEDREGOSA,09. LA PEDREGOSA,3 a 12 años
105,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,11,1,SANTANDER,04. OCCIDENTAL,3 a 12 años
106,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,9,1,TEJAR NORTE,01. NORTE,3 a 12 años
107,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,8,2,VILLAS DE SAN IGNACIO,01. NORTE,3 a 12 años
108,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,11,1,BETANIA,01. NORTE,3 a 12 años
109,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,MASCULINO,8,1,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
110,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,FEMENINO,7,1,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
111,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,MASCULINO,9,1,COMUNEROS,03. SAN FRANCISCO,3 a 12 años
112,2021,ATLETISMO,CANCHA TEJAR NORTE 1 LOS TANQUES,TEJAR NORTE,01. NORTE,MASCULINO,13,1,BETANIA,01. NORTE,13 a 17 años
113,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,7,1,TRANSICION I-V,02. NORORIENTAL,3 a 12 años
114,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,12,1,TRANSICION I-V,02. NORORIENTAL,3 a 12 años
115,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,FEMENINO,8,1,REAL DE MINAS,07. LA CIUDADELA,3 a 12 años
116,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,12,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
117,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,FEMENINO,10,1,LA FERIA,04. OCCIDENTAL,3 a 12 años
118,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,8,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
119,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,8,1,GIRARDOT,04. OCCIDENTAL,3 a 12 años
120,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,FEMENINO,9,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
121,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,6,1,GIRARDOT,04. OCCIDENTAL,3 a 12 años
122,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,7,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
123,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,11,2,LA FERIA,04. OCCIDENTAL,3 a 12 años
124,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,FEMENINO,5,1,GIRARDOT,04. OCCIDENTAL,3 a 12 años
125,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,7,1,LA FERIA,04. OCCIDENTAL,3 a 12 años
126,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,7,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
127,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,FEMENINO,10,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
128,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,6,2,GIRARDOT,04. OCCIDENTAL,3 a 12 años
129,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,12,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
130,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,8,1,SIN INFORMACION,SIN INFORMACION,3 a 12 años
131,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,FEMENINO,8,1,EL PLAN,02. NORORIENTAL,3 a 12 años
132,2021,ATLETISMO,CANCHA MICROFUTBOL GIRARDOT,GIRARDOT,04. OCCIDENTAL,MASCULINO,10,1,GIRARDOT,04. OCCIDENTAL,3 a 12 años
